# THE TAGLINES
#
# One line per version of HYPERCOLOR ASTEROIDS, saying what happened to the
# game. Appended by tools/tagline.sh when a version lands, read by
# tools/chronicle.sh into the book, and never rewritten: once a line is in
# here it is the record, even after the script that first wrote it changes its
# mind about jokes.
#
# Which is the invitation. If the machine gave your version a limp line, edit
# it here and it stays edited. If you would rather not leave it to chance, put
# a  Tagline: <line>  in the commit message and that is what lands.
#
# <commit>	<what happened to the game>
f31b98ce21a132f5ac5dce3f4060a19cf733170e	The panel counts the rules for you, and the board has been keeping the register all along.
74c62dcd373bf974b011f6eae666f93efe907ad8	The bookkeeping of the cabinet moved a foot to the left.
314792090f4cf72e19703e3fc584fc4d2cb717bb	A link to the cabinet arrives somewhere else with the lights on.
7fee65cc64846f2eb6212447a470f50f9d3a6280	The bookkeeping of the cabinet moved a foot to the left.
6b9065f47a3405f7d5f55598314a741cff4c5b0b	The splash screen learned the difference between reading and pressing.
43f55fb405106b9901de6ea73ca1a86202142f9b	Somebody rewrote a rule the game had been taking for granted.
9b3013afb5569d9dd0b28875de23954295024a5d	Fifteen rules on the panel, and the newest one only asks when somebody else last flew.
bb2a685e5f8563abd2cfeedd5937c522e51991bb	The field goes after whoever is top of the board, and the only way down is somebody else's better evening.
2ec32929347de7117b72a79b2166bf7f9ebe2dbd	A trap can carry somebody's name without being aimed at them, and one carries Malte's.
d4dc5431076e2e3c436595df072b6c8a8c642fb5	You can call somebody out, and nothing happens at all until they sign it back.
d839684c372932563a6a2a5870cc28179bd51453	The board says whether nobody has flown or nobody has built the book, which are different evenings.
84359a281baacd9b075d6febfd5f5cc198f3265b	The scoreboard climbed down off the wall and into the field.
c7f8fbd062a44934e5740346d2775c30d7a0482d	Something opens a little way off, counts to four, and pulls the neighbourhood into it.
c78b5d4a21e75970364e34e281e475726b2794cc	The field stood up. A rock has a far side now, and near the edge you can see round it.
07129e98d32a91bf504f712abfa9b634764e2ca7	The kraken swims under the rocks, a mine is a hole in the floor, and the salvage still will not light up.
a716ccc6d18e487f7000ceb4240cb78f330ff072	A tape seals the field it was flown under, bends and mercy included.
2800197466e8c98465ed8f532ab592aac5081903	A key that did nothing now does something. The colours moved as well.
3c0fca039a8f2ac0d57dfe61e9ca7ee20ba79bb7	Flying alone, you get a mouse and a reticle that drags a comet behind it.
0b4403eff92add6439d1827f2dda9816294a3cc3	A trap was set by somebody who will never meet it. An ambush came along with it.
92d4ea003485acfae40b4c67787daeb491a7b622	Every trap in the building is an event now, and nothing else changed.
2f4245353b07e3578511a8f0876459be1e10ec2c	The field guide has shelves, and no row on it runs off the bottom of a laptop.
5c93caab0db9a9c048538f3265309fe6d9ad273d	Everybody the cabinet has heard of gets a card, and the panel is one height at thirty pilots or three.
b75b33504ce866f7e70fb152c821036d60e0b8e2	The band stops coming apart in the fourth minute, and comes back when you return to the tab.
7a0197e043a8d35b77e4b3667a097ca8c0b9103f	The splash stopped stuttering under a thumb, and stopped fading out the panel you were reading.
4f91d52ef3fb5e5c7bfca22f10a51e3ce9fe648d	The room on the splash was bigger than it was letting on, and the book had been leading with a picture from six versions ago.
44238ee52d1edb7bd6f289c1a897dfcefdf33220	Six buttons on a phone, and for the first time one of them shoots.
3b94e5e560d04a3ba7179a336e5d4461e84dc197	Clear a wave and the ship spends the pause travelling, and the next one arrives out of the depth.
41153daa81321e7004cbfdb6cbbc989dc5fd683c	The left hand finally has something to do when nobody is sitting beside you.
0e17dd8d46cc7770f19e1ddd22f092c5628e44d9	The bomb moved next to your thumb, and so did the trigger.
34d229c1ed0fcee00b382dccce5f82941f00b862	Kai put a hole in the field and drew the line you should not cross around it.
9296579dfaa96f03ecbfccccc505c376cd0af236	Something in a cage is drifting past, and the picture on it is a key.
8c9dfed3fb5112045c4081b7b3a8e28aca11dc61	Catch the third crate and the field owes you exactly one save.
